,id,vehicle.trip.trip_id,vehicle.trip.start_time,vehicle.trip.start_date,vehicle.trip.schedule_relationship,vehicle.trip.route_id,vehicle.trip.direction_id,vehicle.position.latitude,vehicle.position.longitude,vehicle.position.bearing,vehicle.position.speed,vehicle.current_stop_sequence,vehicle.current_status,vehicle.timestamp,vehicle.stop_id,vehicle.vehicle.id,vehicle.vehicle.label,vehicle.occupancy_status
297,4582,30095100,10:30:00,20260216,0.0,D96,1.0,38.93029022216797,-77.08309173583984,270.0,9.448800086975098,40.0,1.0,1771257630,7587,4582,4582,7
299,5463,698100,10:36:00,20260216,0.0,C53,1.0,38.909751892089844,-77.006591796875,118.0,4.876800060272217,22.0,1.0,1771257625,19028,5463,5463,1
300,5464,14078100,10:00:00,20260216,0.0,C53,0.0,38.91701126098633,-77.02886962890625,270.0,9.448800086975098,54.0,1.0,1771257623,6896,5464,5464,1
301,5466,25836100,11:00:00,20260216,0.0,C53,0.0,38.845279693603516,-76.98761749267578,,0.9143999814987183,2.0,1.0,1771257629,13111,5466,5466,7
302,5470,8560100,10:48:00,20260216,0.0,C53,1.0,38.9169807434082,-77.03224182128906,,0.0,11.0,1.0,1771257626,6884,5470,5470,1
308,7223,28463100,10:30:00,20260216,0.0,D40,0.0,38.94157028198242,-77.02542877197266,,0.0,29.0,1.0,1771257626,8125,7223,7223,2
309,2838,5208100,10:24:00,20260216,0.0,C53,1.0,38.887691497802734,-76.9949722290039,179.0,9.144000053405762,36.0,1.0,1771257628,4889,2838,2838,1
311,4603,6905100,10:25:00,20260216,0.0,D96,0.0,38.95056915283203,-77.09882354736328,45.0,9.448800086975098,49.0,2.0,1771257630,8504,4603,4603,7
314,5501,7421100,10:30:00,20260216,0.0,D40,1.0,38.9373893737793,-77.02448272705078,181.0,6.4008002281188965,32.0,1.0,1771257629,17010,5501,5501,2
317,5516,5358100,10:00:00,20260216,0.0,C53,1.0,38.850650787353516,-76.9754867553711,,0.0,61.0,1.0,1771257624,2787,5516,5516,7
318,5525,35152100,11:00:00,20260216,0.0,D40,1.0,38.993408203125,-77.03011322021484,,0.0,2.0,1.0,1771257627,18907,5525,5525,7
319,5533,28262100,10:15:00,20260216,0.0,D40,0.0,38.979270935058594,-77.02645874023438,357.0,10.363200187683105,48.0,1.0,1771257626,9610,5533,5533,7
321,5538,21117100,10:48:00,20260216,0.0,C53,0.0,38.851219177246094,-76.97276306152344,82.0,8.53439998626709,10.0,1.0,1771257631,2811,5538,5538,7
325,5461,18632100,09:36:00,20260216,0.0,C53,0.0,38.92353057861328,-77.0519790649414,,0.0,63.0,1.0,1771257640,7219,5461,5461,7
